	mean_flush	mean_caudate	detect_flush	detect_caudate	pval	qval	Gene	Ctype	dir
TPT12	5.702	2.789	1.000	0.947	8.91E-58	6.57E-55	TPT1	gdTcells2	1
SAA12	2.900	0.982	0.998	0.682	1.83E-52	1.27E-49	SAA1	gdTcells2	1
HNRNPA12	3.242	1.599	1.000	0.841	3.67E-45	2.41E-42	HNRNPA1	gdTcells2	1
MT-ATP82	0.032	0.430	0.032	0.382	3.39E-38	2.11E-35	MT-ATP8	gdTcells2	-1
GAPDH2	6.421	3.784	1.000	0.941	3.15E-36	1.86E-33	GAPDH	gdTcells2	1
ACTG12	7.783	4.117	1.000	0.947	1.35E-35	7.61E-33	ACTG1	gdTcells2	1
IGKC2	0.823	0.194	0.725	0.182	2.47E-30	1.33E-27	IGKC	gdTcells2	1
NFKBIA2	0.880	0.138	0.631	0.129	2.45E-29	1.26E-26	NFKBIA	gdTcells2	1
RPL72	3.313	2.045	0.993	0.888	2.96E-28	1.46E-25	RPL7	gdTcells2	1
HLA-C2	4.890	2.939	0.997	0.912	4.34E-28	2.05E-25	HLA-C	gdTcells2	1
RPL33	4.882	3.325	1.000	0.971	4.74E-27	2.15E-24	RPL3	gdTcells2	1
AC090498.11	0.305	1.082	0.298	0.694	7.91E-27	3.46E-24	AC090498.1	gdTcells2	-1
ITIH32	0.012	0.260	0.012	0.235	1.18E-26	4.97E-24	ITIH3	gdTcells2	-1
VIM2	2.926	1.405	0.936	0.747	9.05E-26	3.69E-23	VIM	gdTcells2	1
HSPA82	1.742	0.833	0.931	0.606	1.19E-25	4.67E-23	HSPA8	gdTcells2	1
APOA21	1.554	0.680	0.926	0.471	1.80E-25	6.87E-23	APOA2	gdTcells2	1
H3F3B2	2.590	1.601	0.988	0.824	4.56E-24	1.68E-21	H3F3B	gdTcells2	1
EEF22	0.959	0.429	0.797	0.394	8.08E-23	2.89E-20	EEF2	gdTcells2	1
FOS2	0.843	0.219	0.610	0.165	5.40E-22	1.87E-19	FOS	gdTcells2	1
RP11-160E2.62	0.037	0.361	0.035	0.271	5.54E-22	1.87E-19	RP11-160E2.6	gdTcells2	-1
BTG12	1.047	0.425	0.807	0.353	8.81E-22	2.89E-19	BTG1	gdTcells2	1
JUNB2	0.891	0.206	0.593	0.159	1.72E-21	5.49E-19	JUNB	gdTcells2	1
LDHA1	1.072	0.510	0.816	0.418	5.80E-21	1.80E-18	LDHA	gdTcells2	1
NR4A22	0.519	0.065	0.474	0.065	9.01E-21	2.73E-18	NR4A2	gdTcells2	1
RPS3A2	4.981	3.629	1.000	0.982	1.27E-20	3.76E-18	RPS3A	gdTcells2	1
RPL42	1.908	1.123	0.973	0.747	1.89E-20	5.44E-18	RPL4	gdTcells2	1
CALM11	1.840	1.153	0.978	0.753	5.89E-20	1.66E-17	CALM1	gdTcells2	1
NDUFB11	0.498	1.194	0.476	0.800	9.99E-20	2.74E-17	NDUFB1	gdTcells2	-1
HBA12	0.591	0.030	0.414	0.029	1.14E-19	3.07E-17	HBA1	gdTcells2	1
RPSA2	4.386	3.167	0.998	0.988	1.17E-19	3.08E-17	RPSA	gdTcells2	1
ZFP36L22	0.796	0.212	0.608	0.188	1.23E-19	3.15E-17	ZFP36L2	gdTcells2	1
HP1	1.117	0.510	0.794	0.388	1.42E-18	3.57E-16	HP	gdTcells2	1
RPS92	3.269	2.417	0.995	0.959	2.36E-18	5.81E-16	RPS9	gdTcells2	1
RPS242	4.211	3.015	0.997	0.976	3.06E-18	7.38E-16	RPS24	gdTcells2	1
YBX12	1.898	1.225	0.980	0.782	4.67E-18	1.10E-15	YBX1	gdTcells2	1
RPL182	2.905	2.066	0.997	0.900	1.28E-17	2.95E-15	RPL18	gdTcells2	1
RPL92	3.009	2.001	0.987	0.871	1.88E-17	4.28E-15	RPL9	gdTcells2	1
DUSP22	0.461	0.041	0.385	0.041	2.19E-17	4.87E-15	DUSP2	gdTcells2	1
ZFP362	0.577	0.134	0.499	0.112	2.75E-17	6.00E-15	ZFP36	gdTcells2	1
SAA22	0.862	0.349	0.688	0.318	6.18E-17	1.33E-14	SAA2	gdTcells2	1
RPL7A2	2.957	2.127	0.992	0.947	6.42E-17	1.35E-14	RPL7A	gdTcells2	1
EIF12	2.765	1.940	0.997	0.888	9.50E-17	1.97E-14	EIF1	gdTcells2	1
RPL36A2	1.890	2.914	0.940	0.941	1.25E-16	2.53E-14	RPL36A	gdTcells2	-1
SERPINA11	1.502	0.876	0.943	0.629	1.26E-16	2.53E-14	SERPINA1	gdTcells2	1
RPL152	4.928	3.727	1.000	0.982	1.58E-16	3.11E-14	RPL15	gdTcells2	1
BTF32	1.334	0.780	0.918	0.600	1.79E-16	3.47E-14	BTF3	gdTcells2	1
RPS15A2	6.019	8.089	1.000	1.000	1.13E-15	2.16E-13	RPS15A	gdTcells2	-1
GNB2L12	2.470	1.736	0.997	0.859	1.28E-15	2.40E-13	GNB2L1	gdTcells2	1
NACA2	1.758	1.170	0.960	0.765	1.26E-14	2.32E-12	NACA	gdTcells2	1
CORO1A1	2.721	1.824	0.977	0.788	1.31E-14	2.38E-12	CORO1A	gdTcells2	1
DUSP12	0.382	0.039	0.340	0.035	1.85E-14	3.31E-12	DUSP1	gdTcells2	1
ACTB1	23.822	18.134	1.000	1.000	2.65E-14	4.68E-12	ACTB	gdTcells2	1
NPM12	1.286	0.719	0.861	0.547	2.91E-14	5.06E-12	NPM1	gdTcells2	1
RPL291	3.227	2.414	0.997	0.941	4.58E-14	7.83E-12	RPL29	gdTcells2	1
RPL302	3.847	2.939	0.998	0.976	1.24E-13	2.07E-11	RPL30	gdTcells2	1
CD71	2.235	1.435	0.931	0.753	1.24E-13	2.07E-11	CD7	gdTcells2	1
PTMA	11.947	14.912	1.000	1.000	1.29E-13	2.12E-11	PTMA	gdTcells2	-1
RPL212	6.711	5.410	1.000	0.994	1.40E-13	2.27E-11	RPL21	gdTcells2	1
RPL18A2	4.614	3.545	1.000	0.971	2.14E-13	3.42E-11	RPL18A	gdTcells2	1
RPLP02	2.733	2.033	0.987	0.924	2.29E-13	3.60E-11	RPLP0	gdTcells2	1
HLA-A2	3.953	2.917	0.993	0.935	2.72E-13	4.20E-11	HLA-A	gdTcells2	1
RPS32	5.508	4.359	0.998	0.994	2.74E-13	4.20E-11	RPS3	gdTcells2	1
FTL2	3.548	5.714	0.998	1.000	3.02E-13	4.58E-11	FTL	gdTcells2	-1
ARPC21	2.312	1.677	0.985	0.859	4.64E-13	6.94E-11	ARPC2	gdTcells2	1
CLIC11	1.543	1.013	0.935	0.700	5.52E-13	8.14E-11	CLIC1	gdTcells2	1
RPS4X2	5.684	4.479	0.997	0.982	8.42E-13	1.23E-10	RPS4X	gdTcells2	1
ALDOA2	0.959	0.574	0.787	0.494	3.42E-12	4.92E-10	ALDOA	gdTcells2	1
HLA-B2	7.711	6.047	0.998	0.976	4.06E-12	5.77E-10	HLA-B	gdTcells2	1
RPS28	7.596	5.732	1.000	0.976	5.65E-12	7.94E-10	RPS2	gdTcells2	1
CD742	1.150	0.670	0.792	0.512	7.54E-12	1.05E-09	CD74	gdTcells2	1
TUBA1B2	6.707	4.608	0.997	0.941	7.74E-12	1.06E-09	TUBA1B	gdTcells2	1
PABPC11	1.434	1.003	0.930	0.747	1.22E-11	1.65E-09	PABPC1	gdTcells2	1
PFN11	6.901	5.635	1.000	1.000	1.53E-11	2.05E-09	PFN1	gdTcells2	1
FGL11	0.431	0.137	0.395	0.112	1.55E-11	2.06E-09	FGL1	gdTcells2	1
HLA-E2	2.293	1.566	0.965	0.853	1.78E-11	2.34E-09	HLA-E	gdTcells2	1
UBC2	1.115	0.710	0.794	0.524	2.45E-11	3.18E-09	UBC	gdTcells2	1
RPS142	5.130	4.158	0.998	0.976	7.57E-11	9.71E-09	RPS14	gdTcells2	1
ITGB22	0.875	0.476	0.725	0.406	7.91E-11	1.00E-08	ITGB2	gdTcells2	1
IDH21	0.667	0.333	0.595	0.306	9.81E-11	1.23E-08	IDH2	gdTcells2	1
RPL61	3.146	2.482	0.995	0.941	1.00E-10	1.25E-08	RPL6	gdTcells2	1
RPL13A1	7.228	6.106	1.000	0.994	1.14E-10	1.40E-08	RPL13A	gdTcells2	1
YWHAQ1	0.479	0.206	0.469	0.188	1.65E-10	2.01E-08	YWHAQ	gdTcells2	1
SLC25A62	0.971	0.578	0.792	0.488	3.08E-10	3.71E-08	SLC25A6	gdTcells2	1
RPS29	7.024	8.784	0.998	1.000	3.26E-10	3.88E-08	RPS29	gdTcells2	-1
RGS12	0.342	0.065	0.291	0.053	3.39E-10	4.00E-08	RGS1	gdTcells2	1
GADD45B1	0.342	0.079	0.315	0.076	3.43E-10	4.02E-08	GADD45B	gdTcells2	1
CD692	0.409	0.112	0.358	0.100	3.48E-10	4.03E-08	CD69	gdTcells2	1
NKG7	5.132	3.938	0.982	0.941	4.97E-10	5.69E-08	NKG7	gdTcells2	1
MATK	0.543	0.250	0.516	0.241	5.12E-10	5.81E-08	MATK	gdTcells2	1
RPL131	7.287	6.144	1.000	0.994	6.15E-10	6.91E-08	RPL13	gdTcells2	1
RP11-386I14.41	0.027	0.176	0.027	0.147	6.92E-10	7.71E-08	RP11-386I14.4	gdTcells2	-1
FGG2	0.598	0.272	0.528	0.247	8.55E-10	9.43E-08	FGG	gdTcells2	1
RSRP12	0.306	0.066	0.300	0.065	8.63E-10	9.44E-08	RSRP1	gdTcells2	1
UQCR10	0.507	0.948	0.492	0.694	9.70E-10	1.05E-07	UQCR10	gdTcells2	-1
REL1	0.358	0.106	0.338	0.094	1.18E-09	1.27E-07	REL	gdTcells2	1
HNRNPA02	0.570	0.314	0.536	0.276	1.37E-09	1.45E-07	HNRNPA0	gdTcells2	1
UBE2D31	0.528	0.241	0.509	0.241	1.88E-09	1.98E-07	UBE2D3	gdTcells2	1
RPS232	5.031	4.122	0.998	0.982	2.12E-09	2.21E-07	RPS23	gdTcells2	1
ATP5E1	2.299	3.163	0.982	0.976	2.39E-09	2.47E-07	ATP5E	gdTcells2	-1
RPL27A2	5.141	4.232	0.998	0.988	2.92E-09	2.99E-07	RPL27A	gdTcells2	1
ID21	1.049	0.594	0.719	0.500	3.26E-09	3.32E-07	ID2	gdTcells2	1
LDHB1	0.630	0.329	0.575	0.300	3.98E-09	4.02E-07	LDHB	gdTcells2	1
IGHA11	0.238	0.035	0.238	0.035	4.12E-09	4.12E-07	IGHA1	gdTcells2	1
AREG1	0.205	0.006	0.188	0.006	4.46E-09	4.42E-07	AREG	gdTcells2	1
IER22	0.493	0.203	0.446	0.194	4.70E-09	4.62E-07	IER2	gdTcells2	1
NBEAL12	0.275	0.582	0.275	0.494	6.37E-09	6.22E-07	NBEAL1	gdTcells2	-1
GLTSCR21	0.581	0.331	0.543	0.282	7.23E-09	7.00E-07	GLTSCR2	gdTcells2	1
ARHGDIB2	1.895	1.418	0.946	0.782	8.44E-09	8.10E-07	ARHGDIB	gdTcells2	1
SNHG251	0.060	0.221	0.060	0.206	9.01E-09	8.58E-07	SNHG25	gdTcells2	-1
MYL12A2	2.022	1.545	0.966	0.788	9.50E-09	8.97E-07	MYL12A	gdTcells2	1
SLC25A51	1.380	1.048	0.898	0.712	1.65E-08	1.54E-06	SLC25A5	gdTcells2	1
RPS162	4.127	3.413	0.998	0.982	1.88E-08	1.75E-06	RPS16	gdTcells2	1
KLRF1	0.642	0.341	0.566	0.294	2.42E-08	2.23E-06	KLRF1	gdTcells2	1
WDR11	0.544	0.286	0.523	0.282	2.67E-08	2.44E-06	WDR1	gdTcells2	1
PDIA3	0.473	0.213	0.452	0.206	2.83E-08	2.57E-06	PDIA3	gdTcells2	1
TRDC1	1.032	0.640	0.698	0.453	2.89E-08	2.60E-06	TRDC	gdTcells2	1
COTL11	1.432	0.874	0.749	0.571	3.29E-08	2.94E-06	COTL1	gdTcells2	1
TAP11	0.286	0.088	0.285	0.082	3.56E-08	3.16E-06	TAP1	gdTcells2	1
TUBB	3.600	2.650	0.938	0.829	4.42E-08	3.89E-06	TUBB	gdTcells2	1
FTCD2	0.007	0.082	0.007	0.076	4.64E-08	4.06E-06	FTCD	gdTcells2	-1
CTSW2	1.140	0.797	0.802	0.541	4.70E-08	4.08E-06	CTSW	gdTcells2	1
CYBA1	1.425	1.054	0.911	0.694	4.74E-08	4.08E-06	CYBA	gdTcells2	1
SRGN2	2.034	1.517	0.946	0.753	5.00E-08	4.28E-06	SRGN	gdTcells2	1
EIF3F1	0.609	0.355	0.576	0.324	5.32E-08	4.52E-06	EIF3F	gdTcells2	1
UQCRB1	0.872	0.605	0.752	0.482	6.12E-08	5.16E-06	UQCRB	gdTcells2	1
NUCB2	0.688	0.431	0.611	0.353	6.39E-08	5.35E-06	NUCB2	gdTcells2	1
RPL23A2	6.244	5.293	1.000	0.988	6.48E-08	5.39E-06	RPL23A	gdTcells2	1
MIF1	0.537	0.953	0.486	0.659	7.13E-08	5.88E-06	MIF	gdTcells2	-1
TPM3	0.821	0.551	0.730	0.453	7.42E-08	6.08E-06	TPM3	gdTcells2	1
LCP1	1.048	0.725	0.827	0.576	8.62E-08	7.02E-06	LCP1	gdTcells2	1
SLC25A32	0.882	0.602	0.767	0.482	8.79E-08	7.11E-06	SLC25A3	gdTcells2	1
IRF11	0.604	0.315	0.536	0.300	8.97E-08	7.20E-06	IRF1	gdTcells2	1
CD631	1.018	0.698	0.765	0.500	1.02E-07	8.13E-06	CD63	gdTcells2	1
DDIT41	0.397	0.145	0.374	0.141	1.04E-07	8.27E-06	DDIT4	gdTcells2	1
LIMD21	0.479	0.254	0.451	0.218	1.23E-07	9.67E-06	LIMD2	gdTcells2	1
RHOA	1.053	0.757	0.844	0.588	1.36E-07	1.06E-05	RHOA	gdTcells2	1
H2AFX	0.505	0.270	0.467	0.235	1.65E-07	1.28E-05	H2AFX	gdTcells2	1
CALR1	0.869	0.555	0.695	0.453	1.96E-07	1.51E-05	CALR	gdTcells2	1
SUN22	0.402	0.160	0.374	0.153	2.02E-07	1.55E-05	SUN2	gdTcells2	1
CFL11	4.112	3.556	1.000	0.971	2.18E-07	1.66E-05	CFL1	gdTcells2	1
ITM2B2	0.674	0.459	0.638	0.388	2.22E-07	1.67E-05	ITM2B	gdTcells2	1
EIF52	0.269	0.076	0.263	0.076	2.22E-07	1.67E-05	EIF5	gdTcells2	1
PNRC12	0.359	0.141	0.345	0.135	2.48E-07	1.85E-05	PNRC1	gdTcells2	1
CTD-3252C9.42	0.156	0.006	0.152	0.006	2.49E-07	1.85E-05	CTD-3252C9.4	gdTcells2	1
HIST2H2BE	0.003	0.059	0.003	0.059	2.60E-07	1.92E-05	HIST2H2BE	gdTcells2	-1
FTH11	2.770	2.321	0.995	0.947	3.03E-07	2.22E-05	FTH1	gdTcells2	1
CH17-373J23.12	0.020	0.112	0.020	0.106	3.08E-07	2.24E-05	CH17-373J23.1	gdTcells2	-1
DNAJA11	0.315	0.106	0.303	0.106	3.14E-07	2.28E-05	DNAJA1	gdTcells2	1
HSP90AA12	1.735	1.300	0.935	0.747	3.56E-07	2.57E-05	HSP90AA1	gdTcells2	1
RPL172	0.614	1.012	0.568	0.729	3.64E-07	2.60E-05	RPL17	gdTcells2	-1
ZNF3312	0.186	0.018	0.171	0.018	3.71E-07	2.64E-05	ZNF331	gdTcells2	1
SRSF31	1.028	0.766	0.822	0.571	3.89E-07	2.75E-05	SRSF3	gdTcells2	1
PGAM1	0.481	0.242	0.447	0.224	4.05E-07	2.84E-05	PGAM1	gdTcells2	1
PPP1R15A2	0.228	0.053	0.224	0.053	4.25E-07	2.97E-05	PPP1R15A	gdTcells2	1
HERPUD11	0.201	0.035	0.198	0.035	4.75E-07	3.30E-05	HERPUD1	gdTcells2	1
ATP5B1	0.478	0.251	0.464	0.241	5.09E-07	3.51E-05	ATP5B	gdTcells2	1
P4HB1	0.510	0.300	0.496	0.276	5.70E-07	3.91E-05	P4HB	gdTcells2	1
LAPTM52	0.416	0.194	0.392	0.188	6.23E-07	4.25E-05	LAPTM5	gdTcells2	1
EEF1B21	1.650	1.287	0.951	0.771	7.40E-07	5.02E-05	EEF1B2	gdTcells2	1
SEPT7	0.637	0.396	0.588	0.353	8.16E-07	5.50E-05	SEPT7	gdTcells2	1
TKT	0.246	0.076	0.246	0.071	9.69E-07	6.50E-05	TKT	gdTcells2	1
CRIP11	0.347	0.759	0.318	0.471	1.06E-06	7.04E-05	CRIP1	gdTcells2	-1
HNRNPDL2	0.595	0.396	0.564	0.347	1.07E-06	7.08E-05	HNRNPDL	gdTcells2	1
HIST1H1B	0.039	0.153	0.039	0.141	1.09E-06	7.18E-05	HIST1H1B	gdTcells2	-1
IGLC22	0.186	0.034	0.183	0.029	1.16E-06	7.58E-05	IGLC2	gdTcells2	1
BIN2	0.337	0.145	0.332	0.141	1.26E-06	8.20E-05	BIN2	gdTcells2	1
DDX51	0.744	0.513	0.645	0.418	1.38E-06	8.96E-05	DDX5	gdTcells2	1
ARPC1B	1.111	0.836	0.848	0.659	1.39E-06	8.97E-05	ARPC1B	gdTcells2	1
SUB12	1.055	0.757	0.794	0.565	1.41E-06	9.06E-05	SUB1	gdTcells2	1
LYZ1	0.165	0.012	0.146	0.012	1.53E-06	9.78E-05	LYZ	gdTcells2	1
SUMO21	1.192	0.935	0.888	0.694	1.57E-06	9.94E-05	SUMO2	gdTcells2	1
TMSB101	7.224	8.739	1.000	0.994	1.61E-06	1.02E-04	TMSB10	gdTcells2	-1
EIF4H1	0.346	0.156	0.342	0.147	1.62E-06	1.02E-04	EIF4H	gdTcells2	1
GOLIM4	0.040	0.145	0.040	0.141	1.82E-06	1.14E-04	GOLIM4	gdTcells2	-1
APOC3	0.673	0.423	0.606	0.359	1.84E-06	1.14E-04	APOC3	gdTcells2	1
ARHGDIA1	0.513	0.288	0.499	0.276	1.84E-06	1.14E-04	ARHGDIA	gdTcells2	1
KDM6B1	0.134	0.006	0.132	0.006	2.06E-06	1.26E-04	KDM6B	gdTcells2	1
RPL311	4.025	3.360	0.998	0.971	2.14E-06	1.31E-04	RPL31	gdTcells2	1
CREM1	0.235	0.070	0.228	0.065	2.23E-06	1.35E-04	CREM	gdTcells2	1
AC092580.41	0.134	0.467	0.132	0.271	2.25E-06	1.36E-04	AC092580.4	gdTcells2	-1
RBM31	1.030	0.730	0.804	0.576	2.24E-06	1.36E-04	RBM3	gdTcells2	1
SARAF2	0.367	0.172	0.362	0.159	2.29E-06	1.37E-04	SARAF	gdTcells2	1
CCNI1	0.637	0.416	0.585	0.371	2.37E-06	1.41E-04	CCNI	gdTcells2	1
PSMA2	0.456	0.259	0.446	0.235	2.74E-06	1.63E-04	PSMA2	gdTcells2	1
IFNG1	0.233	0.047	0.186	0.041	2.96E-06	1.75E-04	IFNG	gdTcells2	1
COX171	0.328	0.602	0.325	0.494	3.83E-06	2.25E-04	COX17	gdTcells2	-1
RPL81	2.334	1.941	0.982	0.924	4.39E-06	2.56E-04	RPL8	gdTcells2	1
ATF41	0.352	0.174	0.345	0.159	4.67E-06	2.72E-04	ATF4	gdTcells2	1
CCND32	0.528	0.321	0.477	0.288	4.91E-06	2.84E-04	CCND3	gdTcells2	1
HIST1H4C	3.185	5.321	0.675	0.771	5.39E-06	3.11E-04	HIST1H4C	gdTcells2	-1
SRSF51	0.528	0.288	0.503	0.265	5.55E-06	3.18E-04	SRSF5	gdTcells2	1
CNBP1	0.301	0.133	0.290	0.124	6.77E-06	3.86E-04	CNBP	gdTcells2	1
DNAJB12	0.241	0.080	0.228	0.076	7.57E-06	4.30E-04	DNAJB1	gdTcells2	1
TAGLN2	0.674	0.454	0.616	0.400	7.75E-06	4.38E-04	TAGLN2	gdTcells2	1
PRPF4B	0.114	0.261	0.114	0.253	7.85E-06	4.42E-04	PRPF4B	gdTcells2	-1
RPS61	5.953	5.220	1.000	0.994	8.30E-06	4.65E-04	RPS6	gdTcells2	1
HSP90AB12	0.731	0.498	0.593	0.394	8.90E-06	4.95E-04	HSP90AB1	gdTcells2	1
GYG1	0.270	0.117	0.268	0.100	1.12E-05	6.20E-04	GYG1	gdTcells2	1
RPL10A2	2.988	2.525	0.990	0.959	1.19E-05	6.58E-04	RPL10A	gdTcells2	1
CACYBP1	0.381	0.194	0.363	0.194	1.24E-05	6.79E-04	CACYBP	gdTcells2	1
CST7	0.833	0.630	0.682	0.476	1.25E-05	6.82E-04	CST7	gdTcells2	1
VASP1	0.359	0.185	0.355	0.176	1.32E-05	7.21E-04	VASP	gdTcells2	1
INTS62	0.262	0.101	0.255	0.100	1.38E-05	7.46E-04	INTS6	gdTcells2	1
RPL111	4.209	3.769	0.998	0.976	1.42E-05	7.65E-04	RPL11	gdTcells2	1
CXCR42	0.340	0.179	0.303	0.129	1.43E-05	7.65E-04	CXCR4	gdTcells2	1
GTF3A	0.322	0.145	0.317	0.135	1.43E-05	7.65E-04	GTF3A	gdTcells2	1
C31	0.037	0.130	0.037	0.124	1.46E-05	7.77E-04	C3	gdTcells2	-1
BTG21	0.176	0.041	0.173	0.041	1.51E-05	7.98E-04	BTG2	gdTcells2	1
NR4A11	0.116	0.006	0.114	0.006	1.60E-05	8.42E-04	NR4A1	gdTcells2	1
PARK7	0.701	0.496	0.638	0.435	1.63E-05	8.56E-04	PARK7	gdTcells2	1
SYNC	0.050	0.152	0.050	0.147	1.64E-05	8.57E-04	SYNC	gdTcells2	-1
TYMS	0.905	0.672	0.690	0.482	1.67E-05	8.70E-04	TYMS	gdTcells2	1
BZW1	0.290	0.142	0.290	0.124	1.80E-05	9.34E-04	BZW1	gdTcells2	1
CALM31	1.095	0.873	0.809	0.629	1.91E-05	9.83E-04	CALM3	gdTcells2	1
ANXA61	0.454	0.267	0.441	0.253	2.06E-05	1.06E-03	ANXA6	gdTcells2	1
YPEL51	0.153	0.029	0.151	0.029	2.21E-05	1.13E-03	YPEL5	gdTcells2	1
PPP1CB	0.253	0.482	0.246	0.394	2.28E-05	1.16E-03	PPP1CB	gdTcells2	-1
TES	0.096	0.230	0.095	0.218	2.32E-05	1.18E-03	TES	gdTcells2	-1
RHOG	0.446	0.291	0.441	0.259	2.43E-05	1.23E-03	RHOG	gdTcells2	1
SPINK11	0.522	0.327	0.474	0.288	2.66E-05	1.31E-03	SPINK1	gdTcells2	1
MFAP3	0.000	0.029	0.000	0.029	2.67E-05	1.31E-03	MFAP3	gdTcells2	-1
HIST1H2BF	0.000	0.029	0.000	0.029	2.67E-05	1.31E-03	HIST1H2BF	gdTcells2	-1
SLC22A7	0.000	0.031	0.000	0.029	2.67E-05	1.31E-03	SLC22A7	gdTcells2	-1
SLC13A51	0.000	0.029	0.000	0.029	2.67E-05	1.31E-03	SLC13A5	gdTcells2	-1
RPL191	5.006	4.376	1.000	0.982	2.63E-05	1.31E-03	RPL19	gdTcells2	1
MYOM11	0.000	0.033	0.000	0.029	2.67E-05	1.31E-03	MYOM1	gdTcells2	-1
HSPE1	0.495	0.313	0.462	0.271	2.69E-05	1.31E-03	HSPE1	gdTcells2	1
MLXIPL1	0.008	0.072	0.008	0.059	2.75E-05	1.33E-03	MLXIPL	gdTcells2	-1
CD481	0.434	0.266	0.414	0.241	2.98E-05	1.44E-03	CD48	gdTcells2	1
APOBEC3D1	0.045	0.146	0.045	0.135	3.20E-05	1.54E-03	APOBEC3D	gdTcells2	-1
RAC21	1.422	1.173	0.903	0.741	3.33E-05	1.60E-03	RAC2	gdTcells2	1
EIF4A21	0.324	0.177	0.313	0.153	3.37E-05	1.61E-03	EIF4A2	gdTcells2	1
DNAJB61	0.270	0.112	0.270	0.112	3.38E-05	1.61E-03	DNAJB6	gdTcells2	1
PRMT91	0.139	0.024	0.137	0.024	3.54E-05	1.68E-03	PRMT9	gdTcells2	1
IFITM11	0.437	0.808	0.415	0.541	3.61E-05	1.71E-03	IFITM1	gdTcells2	-1
SERTAD11	0.126	0.018	0.126	0.018	3.65E-05	1.72E-03	SERTAD1	gdTcells2	1
VPS37B1	0.176	0.053	0.174	0.047	3.70E-05	1.73E-03	VPS37B	gdTcells2	1
IL2RB	1.333	0.968	0.769	0.594	3.78E-05	1.76E-03	IL2RB	gdTcells2	1
TCP1	0.238	0.094	0.238	0.094	4.18E-05	1.94E-03	TCP1	gdTcells2	1
ENO12	1.025	0.755	0.727	0.524	4.33E-05	2.00E-03	ENO1	gdTcells2	1
SNRPB1	0.728	0.557	0.660	0.453	4.32E-05	2.00E-03	SNRPB	gdTcells2	1
WEE1	0.044	0.130	0.044	0.129	4.51E-05	2.07E-03	WEE1	gdTcells2	-1
RPS131	3.112	2.681	0.995	0.965	4.66E-05	2.13E-03	RPS13	gdTcells2	1
BRD21	0.401	0.230	0.389	0.206	4.76E-05	2.16E-03	BRD2	gdTcells2	1
CYCS2	0.431	0.263	0.422	0.247	4.75E-05	2.16E-03	CYCS	gdTcells2	1
HIST1H2BD	0.002	0.035	0.002	0.035	5.00E-05	2.26E-03	HIST1H2BD	gdTcells2	-1
DST1	0.003	0.044	0.003	0.041	5.27E-05	2.37E-03	DST	gdTcells2	-1
SEPT91	0.296	0.130	0.290	0.129	5.25E-05	2.37E-03	SEPT9	gdTcells2	1
PKM	0.593	0.379	0.539	0.347	5.73E-05	2.56E-03	PKM	gdTcells2	1
AES1	0.537	0.360	0.503	0.312	5.75E-05	2.56E-03	AES	gdTcells2	1
SUMO1	0.322	0.170	0.318	0.171	5.87E-05	2.61E-03	SUMO1	gdTcells2	1
PET1001	0.183	0.376	0.181	0.318	6.10E-05	2.70E-03	PET100	gdTcells2	-1
PMAIP11	0.156	0.035	0.149	0.035	6.25E-05	2.76E-03	PMAIP1	gdTcells2	1
EIF3L1	0.483	0.300	0.461	0.294	6.31E-05	2.77E-03	EIF3L	gdTcells2	1
EVL	0.630	0.448	0.580	0.376	6.33E-05	2.77E-03	EVL	gdTcells2	1
SRSF22	0.800	0.619	0.693	0.488	6.50E-05	2.83E-03	SRSF2	gdTcells2	1
MCM7	0.365	0.211	0.358	0.194	6.75E-05	2.93E-03	MCM7	gdTcells2	1
CAPZB1	0.659	0.467	0.615	0.412	7.19E-05	3.10E-03	CAPZB	gdTcells2	1
CNN2	0.308	0.164	0.305	0.153	7.16E-05	3.10E-03	CNN2	gdTcells2	1
MCL12	0.264	0.119	0.261	0.112	7.50E-05	3.22E-03	MCL1	gdTcells2	1
ATP5EP22	0.042	0.135	0.042	0.124	7.67E-05	3.28E-03	ATP5EP2	gdTcells2	-1
TPM4	0.684	0.518	0.596	0.424	7.81E-05	3.33E-03	TPM4	gdTcells2	1
RTN4	0.262	0.117	0.258	0.118	7.91E-05	3.36E-03	RTN4	gdTcells2	1
RPL51	2.385	2.092	0.990	0.894	8.07E-05	3.42E-03	RPL5	gdTcells2	1
SLC39A141	0.010	0.072	0.010	0.059	8.44E-05	3.56E-03	SLC39A14	gdTcells2	-1
HIST1H2AC	0.015	0.071	0.015	0.071	8.49E-05	3.57E-03	HIST1H2AC	gdTcells2	-1
FAM195B	0.251	0.106	0.250	0.106	9.22E-05	3.86E-03	FAM195B	gdTcells2	1
SCP2	0.310	0.159	0.310	0.153	9.46E-05	3.95E-03	SCP2	gdTcells2	1
HMGB21	3.728	3.056	0.956	0.918	9.88E-05	4.11E-03	HMGB2	gdTcells2	1
SRSF71	0.602	0.445	0.553	0.365	1.03E-04	4.27E-03	SRSF7	gdTcells2	1
NDUFV2	0.288	0.145	0.288	0.135	1.04E-04	4.28E-03	NDUFV2	gdTcells2	1
RGS22	0.119	0.020	0.117	0.018	1.05E-04	4.31E-03	RGS2	gdTcells2	1
MPC11	0.196	0.070	0.194	0.071	1.05E-04	4.32E-03	MPC1	gdTcells2	1
CTSD1	0.362	0.208	0.357	0.200	1.06E-04	4.32E-03	CTSD	gdTcells2	1
